task_id	intent	query_num	query	tsatisfaction	qsatisfaction	evaluation
48	今天晚上去听了校友的民乐演出，对他们使用的民乐乐器一无所知，很好奇	7	大阮;扬琴;柳琴;新笛;梆笛;高胡;中胡	5	5;5;5;2;5;4;4	AE
49	买了这一款电脑，相比较一下这一系列几款之间的区别	3	ThinkPad 系yoga;ThinkPad yoga;ThinkPad x1 yoga	4	3;5;5	ABG
50	电脑需要换一个风格的背景，想要飞机引擎的高清图	2	壁纸;壁纸飞机引擎	3	3;2	AEG
51	做一个关于吐槽王者荣耀和一些手游的推送，风格要诙谐一点，需要一些表情包	28	460表情包;460王者;460ms表情包;460ms;朋友再见 表情;再见吧朋友再见表情;再见吧;有缘再见吧;再见吧;有缘再见表情包;再见了表情包;再见了您嘞;拜拜了您嘞;小猪佩奇拜拜表情包;拜拜了您嘞;再见吧;江湖再见;江湖再见表情包;坏笑表情包;邪恶坏笑表情包;猥琐坏笑表情包;猥琐笑容表情包gif;猥琐坏笑表情包;得意坏笑表情包;一脸坏笑表情包;一脸坏笑表情包漫画;猥琐坏笑表情包;猥琐笑容表情包gif	4	2;3;1;3;2;2;5;2;5;3;4;2;3;3;3;3;2;2;3;3;3;4;3;2;2;3;3;4	ABF
52	今天下午在等吃晚饭的时候，想看一下最近比较火的玉渊潭的樱花，准备清明去逛逛	1	玉渊潭公园	5	3	AFG
53	上周看了古墓丽影。想要看一下陆仁是不是吴彦祖	2	古墓丽影路人;古墓丽影起源之战剧照	5	2;5	AG
54	想找一下父母爱情中饰演大儿子的演员照片	1	父母爱情大儿子	2	2	AB
55	今天晚上组会讨论了环栅结构，想看一下具体结构	3	环栅结构;半导体环栅结构;环栅结构	2	1;3;1	AB
56	小猪佩奇最近实在是太火了，想要买个周边，看看都有什么图案	4	小猪佩奇;小猪乔治;猪爸爸;猪妈妈	5	4;5;5;4	AB
57	想知道鸡蛋果到底是哪种水果	1	鸡蛋果	2	2	AB
58	明天要给小朋友补习初中科学电与磁部分，搜索一些图片做PPT	3	电动机原理;发电机原理;家庭电路	5	5;5;5	ADF
59	明天要给小朋友补习初中科学电路部分，找一些图片做ppt	1	家庭电路	5	5	ADF
60	明天是假期的最后一天，想要去798逛逛，先看一下	1	北京798	5	5	ABG
61	今天听同学讲了红海行动，上网看一下主演	2	黄景瑜;杜江	5	5;5	AB
62	昨天看了头号玩家，觉得很不错，想要推荐给小伙伴	3	头号玩家;头号玩家修;头号玩家修	5	5;5;3	AG
63	五一小假期，计划一下出去玩	11	九寨沟;武侯祠;乐山大佛;峨眉山;成都小吃;锦里;成都旅游景点;青城山;都江堰;都江堰;阿坝	5	5;5;5;5;5;5;5;5;5;5;5	AB
64	五一想要出去玩一下，看看成都的旅游景点	9	四姑娘山;稻城亚丁;杜甫草堂;宽窄巷子;成都大熊猫繁育基地;文殊院;金沙遗址;春熙路;成都太古里	5	5;5;5;5;5;5;5;5;5	AB
65	最近想要去看电影，听说这个评分很高，看一下海报	2	暴裂无声;暴裂无声海报	5	4;4	AB
66	看了一篇介绍王昱珩的文章，想要了解一下关于他的一些事情	5	最强大脑王昱珩;王昱珩的画;王昱珩女儿;王昱珩老婆;王昱珩作品	5	5;5;5;5;5	ABG
67	想看一下范丞丞长得像不像范冰冰	1	范丞丞	5	5	AG
68	别人送了一套DKNY的香水，想了解一下这个品牌	4	DKNY;dkny香水;dkny产品;dkny手表	5	3;5;5;5	AB
69	网上答题时遇到了相关问题，把不知道的都查一下	5	猕猴桃长在哪里;火龙果长在哪里;花椒长在哪里;菠萝长在哪里;菠萝长在哪里	5	5;5;5;5;5	AB
70	室友最近在看南方有乔木，先看一下剧照	2	南方有乔木;陈伟霆作品	5	5;5	AB
71	答题碰到了相关问题，想要了解一下	1	柠檬长在哪里	5	5	AB
72	看了一期最强大脑，王春彧和以前的一个同学重名，来看一下	2	最强大脑王春彧;王春彧	5	5;5	AG
73	很喜欢穆斯林的葬礼，不知道有没有排成电影或者电视剧	4	穆斯林的葬礼;穆斯林的葬礼剧照;穆斯林的葬礼韩子奇;穆斯林的葬礼韩新月	3	5;1;2;5	AB
74	上次去天津。错过了晚上的摩天轮，找找图片，弥补一下	1	天津摩天轮	5	5	AB
75	想要考察一下五一出行计划	11	大理;大理古城;丽江古城;洱海;丽江景点;茶马古道;苍山;崇圣寺三塔公园;西南联大;木府;木府	5	5;5;5;5;5;5;3;5;5;5;5	AB
76	想要看一下萌娃一家	10	霍思燕;杜江;嗯哼;杨子;安迪;咘咘;黄圣依;修杰楷;贾静雯;黄圣依安迪	4	5;5;5;5;2;5;5;5;5;5	AB
77	看到了海豚湾恋人的一段视频，回去看看当年的剧照，当年最喜欢的偶像剧	6	海豚湾恋人张韶涵;海豚湾恋人徐泽亚;海豚湾恋人珊妮;海豚湾恋人小瓶盖;海豚湾恋人达达;海豚湾恋人霍建华	5	5;5;5;5;5;5	AB
78	看一下公主小妹的剧照	5	公主小妹张韶涵;公主小妹吴尊;公主小妹飞轮海;公主小妹演员表;公主小妹宫茉莉	5	5;5;5;5;5	AB
79	一直在听叶文有话要说，很喜欢，看一下主持人	3	叶文老公孩子的照片;叶文老公;叶文	5	3;5;5	AB
80	一直在听叶文有话要说，看一下主持人	1	叶文	5	5	AB
81	看一下哪一条河是内陆河	3	塔里木河;辽河;淮河	4	5;5;4	AB
82	做PPT需要几张图片	2	摩尔定律;后摩尔定律	5	5;5	ABF
83	答题遇到相关问题，看一下	4	褒姒;妲己;妲己;骊姬	5	5;5;5;5	AB
84	一直在用春雨面膜，听说范丞丞成为了春雨面膜的代言人，看一下	4	春雨面膜;春雨面膜 范丞丞;春雨面膜黑色;春雨面膜老板娘	5	5;5;5;2	AB
85	超爱琅琊榜，怒刷n遍	29	琅琊榜梅长苏;琅琊榜霓凰;琅琊榜景睿;琅琊榜靖王;琅琊榜静妃;琅琊榜夏冬;琅琊榜甄平;琅琊榜飞流;琅琊榜夏冬;琅琊榜黎刚;琅琊榜甄平;琅琊榜靖王妃;琅琊榜卫峥;琅琊榜念念;琅琊榜人物关系图;琅琊榜莅阳长公主;琅琊榜谢玉;琅琊榜谢琦;琅琊榜言侯;琅琊榜皇后;琅琊榜蔺晨;琅琊榜卓青遥;琅琊榜太子;琅琊榜庭生;琅琊榜胡歌;琅琊榜皇帝;琅琊榜蒙挚;琅琊榜蒙挚;琅琊榜誉王	5	5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	AB
86	看到一个关于撒尿男孩的介绍 来看一下	4	撒尿男孩;大卫;米开朗琪罗;维纳斯	5	5;5;5;5	AB
87	想了解一下王菲一家	8	李嫣;李亚鹏;王菲;谢霆锋;窦靖童;窦靖童;谢霆锋;王菲	5	5;5;5;5;5;5;5;5	AB
88	喜欢多多和黄磊一家	5	黄磊;黄磊儿子;孙莉;多妹;多多	5	5;2;5;5;5	AB
89	周三晚上看了结婚进行曲，离得太远，想要看一下剧照	6	结婚进行时;结婚进行曲;结婚进行曲怀特先生;结婚进行曲男爵夫人;结婚进行曲玛丽小姐;结婚进行曲推销员	2	3;1;1;5;3;3	AB
90	今晚去蒙民伟音乐厅看了催眠，离得比较远，看一下演员	4	话剧催眠医生;话剧催眠;话剧催眠排长;话剧催眠作家	4	4;5;4;4	AB
91	昨天看了一档介绍各种包包的节目，没记住，来看一下	24	backpack;messenger;shopper;hobo包;quilted;messenger包;hobo;barrel;bucket;baguette;barrel包;satchel;duffel;sea包;shopper包;flap;tote;minaudiere;baguette包;doctor包;quilted包;clutch;saddle;saddle包	4	5;1;2;4;2;4;4;2;3;2;4;5;5;2;5;5;5;4;4;4;4;5;2;5	AB
92	看一下明星夫妻	4	刘强东;章泽天;罗晋;唐嫣	5	5;5;4;5	AB
93	周六去了植物园，看到了很多花很喜欢，突然很想了解一些花和花语	32	红色仙客;太阳花;风信子;珍珠梅花;雏菊;茉莉花;桃花;马蹄莲;木兰花;蝴蝶花;爱丽丝花;黄玫瑰;忘忧草;丁香花;丁香花花语;粉红色天竺葵;星辰花;满天星花语;满天星;风铃草;天竺葵花;野荨麻花;万代兰花;郁金香;韭兰花;金鱼草;栀柳花;玫瑰;栀子花;麦秆菊花;小苍兰;薰衣草	5	5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5	AB
94	想了解一下花名和花的对应	4	迷迭香;银莲花;水晶花;石竹花	5	5;5;5;5	AB
95	最近迷上北京女子图鉴，看看陈可和她的一串男盆友	17	北京女子图鉴杨大赫;北京女子图鉴张超;北京女子图鉴黄越彬;北京女子图鉴何志;北京女子图鉴卢家凯;北京女子图鉴王佳佳;北京女子图鉴笨笨;北京女子图鉴吴昊;北京女子图鉴姚梅;北京女子图鉴于扬;北京女子图鉴魏奇;北京女子图鉴顾总;北京女子图鉴顾总;北京女子图鉴朱朝阳;北京女子图鉴李晓芸;北京女子图鉴魏奇;北京女子图鉴于扬	5	5;5;5;5;5;4;3;5;5;5;5;4;5;5;5;5;5	AB
96	今晚跟一北方同学讨论地瓜和红薯是否为同一样东西，为了证明在南方这俩不是同一东西，在网上搜索南方的地瓜发给同学。	1	地瓜 南方	5	5	AE
97	最近想买个家用脱毛机，今天了解到以色列的silk'n品牌脱毛机不错，所以上网搜搜。	1	silk脱毛机	4	4	ABH
98	最近想跟同学一起去北京的特色景点转一转，所以搜了几个比较有北京特色且交通方便的地点。	5	东棉花胡同;五道营胡同;王府井教堂;角楼;玉渊潭樱花	4	2;4;4;5;4	ABG
99	今天浏览八卦新闻得知杜江对霍思燕有好感始于看到霍思燕出演的电影《我要成名》的海报，所以上网搜一搜《我要成名》这部电影。	1	我要成名	2	3	ABH
100	最近脸上有处地方不平滑，想弄清楚是痘痘还是闭口粉刺，所以上网搜一搜二者的图片以弄清楚区别。	2	闭口;痘痘	3	2;4	ABE
101	今天看到一则关于迪丽热巴的新闻，然后一直觉得她跟古力娜扎很像，所以上网搜一搜两者的区别。	1	古力娜扎 迪丽热巴	4	4	ABE
102	最近很喜欢几个网红小孩儿，想搜一些他们的照片来做桌面和头像。	4	小刚几壁纸;小刚几头像;民国头像;权律二头像	4	4;4;4;5	AFG
103	周末之前要完成一个展示的PPT制作，所以上网搜索一些好看的简约的背景图片。	3	PPT背景图片;PPT背景图片 简约;PPT背景图片 商务	4	3;4;4	DFG
104	周六是母亲生日，想送她一款项链，所以上网搜一搜看看款式和佩戴效果。	2	珍珠项链;项链 妇女	3	4;3	ABG
105	今天查阅平安集团资料得知其总部在深圳第一高楼，对深圳第一高楼以及亚洲其他高楼产生了兴趣，所以上网搜一搜	4	深圳第一高楼;京基100;台北第一高楼;台北101	4	4;4;4;5	ACG
106	最近长草某品牌的香芹抗氧化精华，好奇香芹是什么，是不是我们平时说的芹菜，所以上网搜一搜香芹以及它与西芹的区别。	4	香芹;西芹;西芹 香芹;香芹 西芹区别	4	4;4;2;3	AEH
107	下午跟同学商量毕业旅行地点，想去泰国玩，所以上网搜几个它的著名景点。	5	泰国甲米;泰国普吉岛;泰国地图中文版全图;泰国华欣;泰国清迈	3	4;3;4;3;4	ABG
108	最近想尝试学画眼妆，所以先上网搜一下几款很火的眼影图片。	4	excel眼影;excel眼影sr03;lunasol眼影;colorpop眼影	3	4;3;3;4	ABC
109	今天跟同学吃香锅时讨论到麻辣烫、冒菜、串串等，所以上网搜一搜它们的图片想看看区别。	4	麻辣烫;冒菜;钵钵鸡;冷锅串串	3	3;4;4;4	ABC
110	今天去看了头号玩家，觉得特别好看，想在网上搜一些海报来做壁纸或者搜搜影片中的彩蛋。	3	头号玩家海报;头号玩家票房海报;头号玩家彩蛋	4	4;4;2	ACD
111	今天看电影头号玩家时同学剧透某恐怖场景是致敬电影闪灵，我没有看过闪灵，所以上网搜一搜该电影和其作者。	2	闪灵;斯蒂芬金	3	4;4	ABE
112	最近看了偶像练习生，很迷这类男团，就好奇国内有没有出名的女团，所以上网搜搜国内女团相关的图片内容。	8	国内女团;sing女团;SNH48;snh48成员;snh48鞠婧祎;akb48;akb48成员谁最漂亮;akb48 松井玲奈	4	4;4;4;4;4;4;2;4	ABD
113	最近要做一个PPT，内容涉及常用包型的英文说法，所以上网搜一些对应的图片便于理解和展示。	24	satchel;satchel 剑桥包;satchel Proenza Schouler PS1;tote包;tote Fendi Peekaboo;Bucket Bag;Bucket Bag LV noe bag;Backpack;Grafea双肩包;Clutch包;Clutch包 华伦天奴;Duffle包;Baguette Fendi;Saddle Bag;Saddle Bag chole;Saddle Bag celine;Saddle Bag克洛伊;Box Bag-盒子包;Box Bag-盒子包 LV;Flap bag;Chanel Classic Flap;Messenger bag-邮差包;Hobo bag;Minaudiere Clutch	4	2;4;4;4;4;4;4;4;5;2;2;4;4;3;3;3;4;4;4;4;4;4;4;4	AFG
114	今天看了一则笑话是关于一个外国妈妈按照她对“hair half up half down”的理解给女儿弄的头发，所以我想上网搜一搜看看输入hair half up half down是什么结果。	1	hair half up half down	3	4	AB
115	最近喝了喜茶，觉得比之前喝的奶茶都要好喝，所以想上网搜一搜喜茶的菜单及几款招牌茶，同时也搜一搜它的竞争对手一点点的相关内容。	11	喜茶;喜茶 满杯西柚;喜茶芝芝莓果;喜茶金菠萝;喜茶芝士金凤;喜茶芝士芒芒;喜茶 招牌茶;一点点招牌茶;一点点 波霸奶茶;一点点奶茶菜单;喜茶菜单	4	4;4;4;4;2;4;4;4;4;4;5	ACG
116	最近粉底液快用完了，种草了covermark、阿玛尼、suqqu等粉霜（粉底液），所以上网搜一下它们的色号。	20	covermark粉底液色号;covermark yo00;covermark bn10;covermark bo10;阿玛尼lsf粉底液;阿玛尼lsf粉底液 试色;阿玛尼lsf粉底液 4号色;suqqu粉霜;suqqu粉霜 试色;suqqu粉霜 15色;suqqu粉霜 203号;suqqu粉霜 101号;cpb钻光粉霜 色号;cpb钻光粉霜 oc10;twny粉霜;twany粉霜;twany粉霜ocb;干皮夏天粉底液;rmk粉底液色号;rmk粉底液202	3	4;3;4;4;3;2;3;3;3;2;2;3;4;4;2;3;4;2;3;3	AC
117	最近闺蜜要过生日了，想送她一个女士包包作为生日礼物，近日逛街时看见小ck有款宽肩带褶皱包很好看，所以上网搜一搜类似款想买来送给闺蜜。	5	小ck风琴包;小ck包 宽肩带;小ck包;25岁女生包包;女生包包 生日礼物	2	2;1;3;3;1	ACG
118	最近天气开始热起来了，想买一顶帽子来遮阳防晒，所以上网搜一搜常见的几种帽子以及相关佩戴图。	9	棒球帽上脸图;棒球帽;女士棒球帽;鸭舌帽;遮阳帽;盆帽;防晒帽遮脸遮颈部;太阳帽;M家帽子	2	1;3;2;2;3;1;3;3;3	ACG
119	最近看一个综艺节目里女明星霍思燕家养了很多宠物，尤其是对没有毛的猫和大型的贵宾印象深刻，所以上网搜一搜她家的宠物，顺便搜一下相关品种。	7	无毛猫;无毛猫 霍思燕;宠物 霍思燕;狗 霍思燕;巨贵;泰迪;贵宾犬	4	4;3;3;4;4;4;4	ABC
120	今晚吃了水平有限的螺蛳粉，觉得特别好吃，所以上网搜一搜螺蛳粉和它的做法，想回家学者做做。	5	螺蛳粉做法;原味螺蛳粉;干捞螺蛳粉;水平有限 螺蛳粉;柳州螺蛳粉	3	1;3;4;3;3	ACG
121	最近买了一个类似box的小方包，想上网搜一搜它的搭配图找找灵感。	4	celine box搭配图;celine frame 搭配;小方包搭配;furla小方包搭配	2	2;3;2;2	ACG
122	今天在学校里看到一个妹子穿着波点半裙，觉得很复古很好看，所以想上网搜一搜波点元素的服饰及其搭配。	9	波点 半裙;波点 半裙 A字;波点 半裙 鱼尾裙;波点 半裙 搭配;波点 半裙 复古;波点连衣裙 复古;波点上衣;波点连衣裙 韩国;波点上衣 韩国	3	3;2;3;2;2;2;3;3;3	ACG
123	最近看了《偶像练习生》总决赛，喜欢上了蔡徐坤，觉得他好帅好精致啊，所以想上网搜一些他的壁纸来作为桌面。	3	蔡徐坤 壁纸;蔡徐坤壁纸高清;蔡徐坤壁纸无水印	4	4;3;2	ADF
124	昨天看了南海阅兵的视频，特别自豪和骄傲，所以上网搜一搜南海阅兵相关图片和军事品种，增长知识。	5	南海阅兵;航母打击作战群;航母打击作战群 南海阅兵;两栖攻击舰;长沙舰	4	4;2;3;4;3	AB
125	上个月去打了耳洞，现在恢复差不多了，所以想买一些气质的好看的耳环来佩戴，所以上网搜一搜耳环的图片以便去商场购买。	6	耳环 复古;耳环 珍珠;耳环 韩国;耳环 气质;耳环 ins风;耳环 搭配	2	3;3;3;3;4;1	ACG
126	春天到了，准备买一条碎花连衣裙来配风衣、皮衣等外套，所以上网搜一搜碎花裙及相关搭配。	6	碎花连衣裙长款长袖;碎花连衣裙搭配;碎花连衣裙韩国;碎花连衣裙气质;碎花连衣裙ins风格;chic碎花连衣裙	3	2;1;1;2;3;5	ACG
127	看新闻得知昨日古天乐获得金像奖影帝，所以上网搜一搜古天乐和他演的《杀破狼》图片。	3	古天乐;古天乐杀破狼;古天乐金像奖	4	4;4;2	AH
128	最近很喜欢吃红枣，但又觉得光吃新鲜红枣会吃腻，所以上网搜一搜红枣的其他吃法以及相应做法。	2	枣糕做法;干枣片的做法	2	2;2	AB
129	今天看到一个八卦说徐锦江和雷神长得比较像，所以上网搜一搜网友恶搞他们的图片，分享给同学。	1	徐锦江雷神	4	4	AB
130	最近在美剧里看到复古老爷车，觉得很有吸引力，所以想上网搜几张经典品牌的老爷车，欣赏之余还能用来做桌面壁纸。	4	保时捷 老爷车;奔驰老爷车;福特老爷车;经典老爷车	4	4;4;4;4	ACG
131	最近看了电影《雏菊》，很喜欢这种花和它的花语，所以想上网搜一搜它的一些图片用来做手机壁纸。	2	雏菊 手机壁纸;雏菊壁纸高清手机壁纸	5	5;4	ADG
132	今天看综艺《妈妈是超人》时，弹幕说黄圣依的儿子安迪像盛一伦，所以就上网搜一搜盛一伦的长相，看看像不像。	2	盛一伦 安迪;盛一伦	4	1;5	AE
133	今天逛街同学买了一双华莱士，觉得这双鞋还挺好看的，想上网搜搜这款鞋，了解一下它的其他配色。	3	nike 华莱士;nike 华莱士四代;nike华莱士鞋带系法	4	4;4;1	AC
134	今天看到一个关于87岁超模卡门·戴尔·奥利菲斯的介绍视频，被她的气质所迷倒，所以想上网搜一搜她的图片以及她年轻和走秀时的图片。	4	卡门·戴尔·奥利菲斯;卡门戴尔奥利菲斯年轻;卡门戴尔奥利菲斯 走秀;卡门戴尔奥利菲斯男友	4	5;4;3;1	AC
135	最近追完了韩剧《迷雾》，被里面女主的衣着和一位男配所吸引，所以想上网多搜一些关于他们的图片。	5	迷雾剧照金南珠;金南珠服装搭配;金南珠;任兑卿;任兑卿 迷雾	2	4;2;2;1;2	ACG
136	五一准备去重庆游玩，所以上网搜几个重庆著名景点的图片看一看，提前了解一下，决定是否要去这些景点。	4	重庆天坑;重庆武隆天坑;重庆三峡;重庆洪崖洞	4	4;4;4;3	ACG
137	今天看到一则关于RMIT大学的搞笑新闻，对这个大学很好奇，所以上网搜一搜它的图片。	1	RMIT	4	4	ABH
138	今天超市榴莲特价买了一些榴莲回来吃，突然就很好奇一些不常见水果（榴莲、菠萝蜜等）长在哪里，所以上网搜一搜相关图片。	2	榴莲长在哪;菠萝蜜长在哪	5	5;5	AB
139	最近头发分叉厉害加上自己又想换个发型，所以上网搜一搜适合圆脸的发型（例如流行的韩式lob）图片，以便剪发师参考。	3	lob发型;圆脸适合什么发型;lob韩式	4	4;3;4	AB
140	听同学说田馥甄去了今年北京的草莓音乐节，因为我很喜欢田馥甄，所以想上网搜一搜现场图片看看。	2	草莓音乐节田馥甄;田馥甄音乐节	2	2;2	AB
141	最近想买一个玫瑰金的手链（手环），所以上网搜一搜相关图片提前看看款式，为去店里挑选做准备。	2	玫瑰金手环;玫瑰金手链	2	2;3	AC
142	最近在看一部电视剧时发现其中一位女演员很面熟，看演职员表发现女演员叫刘希媛，所以上网搜一搜她的图片和演过的角色，最后想起来了觉得她面熟的原因。	4	刘希媛;刘希媛角色;刘希媛黄宗泽;刘希媛白蛇传	4	4;4;3;4	AB
143	今天看新闻说阿蓬江特大桥最近竣工了，新闻上看到阿蓬江大桥特别震撼，所以想上网搜一搜类似的跨海跨江大桥，开开眼界。	2	阿蓬江大桥;跨海大桥	4	4;4	ABG
